tourney_id,tourney_name,surface,draw_size,tourney_level,indoor,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2026-3127,Genoa 2,Clay,32,C,O,20260921,1,D0HM,,,Matthew William Donald,R,175,CZE,21.867,468,100,C0NN,5,,Gianluca Cadenasso,R,175,ITA,21.977,219,257,6-3 4-6 7-5,3,R32,149,1,10,104,69,43,17,15,6,10,6,3,87,46,32,17,16,3,9
2026-3127,Genoa 2,Clay,32,C,O,20260921,2,J0DG,,,Alejandro Juan Mano,R,185,ESP,21.684,625,58,P0CT,4,,Francesco Passaro,R,180,ITA,25.703,223,254,0-6 7-6(4) 6-1,3,R32,110,1,0,77,62,34,9,13,2,7,5,7,84,49,33,13,12,9,13
2026-3127,Genoa 2,Clay,32,C,O,20260921,3,CI14,8,,Jay Clarke,R,183,GBR,28.153,247,226,S0LR,,,John Sperle,L,175,GER,24.641,692,48,7-5 6-3,3,R32,109,1,2,63,37,23,17,11,1,3,1,1,68,41,20,16,10,2,6
2026-3127,Genoa 2,Clay,32,C,O,20260921,4,CG33,6,,Kimmer Coppejans,R,178,BEL,32.619,227,250,C0JX,,,Sean Cuenin,R,183,FRA,22.595,304,180,7-6(6) RET,3,R32,67,2,1,44,26,15,11,6,2,4,1,1,52,38,23,6,6,4,6
2026-3127,Genoa 2,Clay,32,C,O,20260921,5,M0N1,,,Luka Mikrut,R,188,CRO,22.431,214,264,I09N,,,Federico Iannaccone,R,185,ITA,27.491,588,67,6-1 6-2,3,R32,60,4,0,38,27,23,9,8,0,0,0,1,36,23,12,5,7,0,4
2026-3127,Genoa 2,Clay,32,C,O,20260921,6,M0R4,,,Juan Cruz Martin Manzano,L,180,ITA,21.766,438,111,P0HY,,,Samuele Pieri,R,183,ITA,24.561,395,126,6-4 6-2,3,R32,121,1,4,56,34,21,13,9,0,2,2,2,75,45,21,15,9,10,15
2026-3127,Genoa 2,Clay,32,C,O,20260921,7,A0BA,,,Federico Arnaboldi,R,185,ITA,26.259,495,91,B0C5,,,Florian Broska,R,175,GER,28.72,327,164,6-1 7-6(3),3,R32,89,4,0,63,34,24,15,10,3,5,4,2,70,37,24,13,9,5,9
2026-3127,Genoa 2,Clay,32,C,O,20260921,8,BV24,7,,Raul Brancaccio,R,183,ITA,29.383,229,247,R0HK,,,Filippo Romano,R,188,ITA,21.207,306,178,7-6(4) 6-2,3,R32,89,0,4,67,35,28,20,10,0,0,1,2,67,36,25,16,10,5,7
2026-3127,Genoa 2,Clay,32,C,O,20260921,9,B0JP,,,Dali Blanch,R,185,USA,23.548,330,162,K0CJ,,,Sandro Kopp,R,185,AUT,26.322,308,177,6-3 6-3,3,R32,98,6,2,58,34,24,12,9,6,8,1,3,77,49,27,12,9,7,12
2026-3127,Genoa 2,Clay,32,C,O,20260921,10,N0CS,3,,Lukas Neumayer,R,183,AUT,24.041,183,312,D0D9,,,Stefano D'Agostino,R,183,ITA,22.883,755,40,6-3 7-6(4),3,R32,106,8,1,56,36,31,14,10,0,0,13,4,81,44,36,16,11,7,9
2026-3127,Genoa 2,Clay,32,C,O,20260921,11,C0LK,,,Carlo Alberto Caniato,R,188,ITA,20.89,386,130,B0WD,,,Lorenzo Berto,R,185,ITA,19.302,1186,11,6-1 7-5,3,R32,77,3,2,46,28,26,14,10,0,0,3,3,57,30,18,15,9,1,4
2026-3127,Genoa 2,Clay,32,C,O,20260921,12,G0IB,2,,Tom Gentzsch,R,191,GER,23.044,162,352,DG80,,,Enrico Dalla Valle,R,196,ITA,28.504,317,170,6-4 7-6(5),3,R32,102,7,4,81,55,39,14,11,1,2,2,1,62,42,30,12,11,1,3
2026-3127,Genoa 2,Clay,32,C,O,20260921,13,L0DB,,,Giuseppe La Vela,R,180,ITA,25.93,553,76,O639,,,Giovanni Oradini,L,188,ITA,29.018,683,49,7-6(6) 7-6(6),3,R32,145,3,4,94,59,43,17,12,6,8,6,3,78,43,28,22,12,4,6
2026-3127,Genoa 2,Clay,32,C,O,20260921,14,M0BN,,,Marvin Moeller,R,178,GER,27.674,256,219,TA12,1,,Stefano Travaglia,R,185,ITA,34.732,159,355,6-4 4-6 6-2,3,R32,157,2,3,93,54,38,19,14,4,7,6,4,91,44,29,21,14,4,9
2026-3127,Genoa 2,Clay,32,C,O,20260921,15,F0A4,,,Francesco Forti,R,188,ITA,27.157,357,143,N0B4,,,Ryan Nijboer,R,180,NED,27.151,415,118,6-3 6-4,3,R32,123,0,4,66,40,24,14,10,6,9,1,5,79,43,24,15,9,5,10
2026-3127,Genoa 2,Clay,32,C,O,20260921,16,P0O9,,,Mika Petkovic,R,180,GER,19.729,458,105,MJ08,,,Thiago Monteiro,L,183,BRA,32.309,225,251,4-6 6-4 6-1,3,R32,131,5,3,84,49,34,17,14,5,9,4,2,84,54,35,13,13,6,12
2026-3127,Genoa 2,Clay,32,C,O,20260921,17,C0LK,,,Carlo Alberto Caniato,R,188,ITA,20.890,386,130,G0IB,2,,Tom Gentzsch,R,191,GER,23.044,162,352,6-3 5-7 7-5,3,R16,142,8,3,105,68,53,18,17,4,6,13,2,102,77,52,13,16,4,7
2026-3127,Genoa 2,Clay,32,C,O,20260921,18,CI14,8,,Jay Clarke,R,183,GBR,28.153,247,226,L0DB,,,Giuseppe La Vela,R,180,ITA,25.93,553,76,6-1 6-2,3,R16,76,3,4,53,38,30,5,8,2,2,0,0,40,20,8,10,7,2,6
2026-3127,Genoa 2,Clay,32,C,O,20260921,19,F0A4,,,Francesco Forti,R,188,ITA,27.157,357,143,J0DG,,,Alejandro Juan Mano,R,185,ESP,21.684,625,58,6-1 6-2,3,R16,80,2,0,54,36,24,12,8,0,0,0,0,65,56,26,5,7,8,12
2026-3127,Genoa 2,Clay,32,C,O,20260921,20,P0O9,,,Mika Petkovic,R,180,GER,19.729,458,105,BV24,7,,Raul Brancaccio,R,183,ITA,29.383,229,247,6-4 7-6(1),3,R16,117,2,2,77,47,32,17,11,3,5,3,3,95,57,33,19,11,13,16
2026-3127,Genoa 2,Clay,32,C,O,20260921,21,N0CS,3,,Lukas Neumayer,R,183,AUT,24.041,183,312,M0R4,,,Juan Cruz Martin Manzano,L,180,ITA,21.766,438,111,0-6 6-4 6-1,3,R16,103,2,0,58,30,17,15,11,3,8,5,5,76,42,26,13,12,4,10
2026-3127,Genoa 2,Clay,32,C,O,20260921,22,B0JP,,,Dali Blanch,R,185,USA,23.548,330,162,D0HM,,,Matthew William Donald,R,175,CZE,21.867,468,100,6-3 6-1,3,R16,75,5,3,51,27,23,13,8,1,1,0,4,50,30,16,10,8,6,10
2026-3127,Genoa 2,Clay,32,C,O,20260921,23,M0BN,,,Marvin Moeller,R,178,GER,27.674,256,219,A0BA,,,Federico Arnaboldi,R,185,ITA,26.259,495,91,6-4 6-4,3,R16,108,2,2,63,34,18,20,10,8,10,2,1,67,41,26,11,10,3,7
2026-3127,Genoa 2,Clay,32,C,O,20260921,24,M0N1,,,Luka Mikrut,R,188,CRO,22.431,214,264,CG33,6,,Kimmer Coppejans,R,178,BEL,32.619,227,250,6-1 6-1,3,R16,68,2,0,40,28,23,7,7,2,2,1,3,43,18,10,8,7,3,8
2026-3173,Plovdiv 4,Clay,32,C,O,20260921,1,R0IL,,,Iliyan Radulov,R,187,BUL,21.279,599,64,L0N0,,,Pavel Lagutin,R,185,,21.544,417,117,7-5 6-2,3,R32,135,0,3,99,69,39,11,10,8,12,0,3,72,51,27,7,10,4,11
2026-3173,Plovdiv 4,Clay,32,C,O,20260921,2,A0AB,,,Adrian Andreev,R,175,BUL,25.361,819,33,PL64,,,Oleg Prihodko,R,180,MKD,28.966,469,99,6-1 6-4,3,R32,86,1,2,56,40,31,5,9,3,4,1,2,65,35,20,14,8,6,10
2026-3173,Plovdiv 4,Clay,32,C,O,20260921,3,G0EU,6,,Felix Gill,L,175,GBR,24.307,211,266,V0GR,,,Alexander Vasilev,L,185,BUL,19.357,609,62,6-1 6-0,3,R32,67,0,1,43,27,19,12,7,2,2,2,3,52,31,11,11,6,4,9
2026-3173,Plovdiv 4,Clay,32,C,O,20260921,4,F0BT,,,Jonas Forejtek,R,183,CZE,25.533,433,113,G0EQ,,,Sebastian Gima,L,0,ROU,24.348,605,63,6-4 4-6 6-3,3,R32,124,2,2,94,72,46,14,15,4,7,1,1,86,55,35,18,14,7,11
2026-3173,Plovdiv 4,Clay,32,C,O,20260921,5,CD00,,,Maxime Chazal,R,175,FRA,33.41,439,111,S0WT,2,,Joel Schwaerzler,L,188,AUT,20.649,185,305,2-6 6-4 7-6(9),3,R32,156,1,3,90,52,31,20,15,2,7,8,2,101,62,42,18,15,7,11
2026-3173,Plovdiv 4,Clay,32,C,O,20260921,6,I0BF,,,Ivan Ivanov,R,,BUL,17.892,505,88,J09X,7,,Filip Cristian Jianu,R,180,ROU,25.008,283,196,7-6(5) 6-3,3,R32,101,2,4,68,48,29,12,10,2,5,0,1,86,61,33,12,11,4,9
2026-3173,Plovdiv 4,Clay,32,C,O,20260921,7,RB60,,,Oriol Roca Batalla,R,175,ESP,33.394,310,175,D0LJ,3,,Diego Dedura,,,,,186,303,6-3 6-2,3,R32,81,1,2,67,46,32,12,9,6,6,0,3,46,29,20,5,8,1,4
2026-3173,Plovdiv 4,Clay,32,C,O,20260921,8,M0SE,4,,Maxim Mrva,R,178,CZE,19.138,213,265,MW62,,,Nikita Mashtakov,R,175,UKR,27.513,527,83,6-4 4-6 6-2,3,R32,136,0,4,100,59,35,21,14,3,8,2,2,104,69,39,15,14,6,13
2026-3173,Plovdiv 4,Clay,32,C,O,20260921,9,A0EA,1,,Max Alcala Gurri,R,178,ESP,24.027,163,350,C0HB,,,Eliakim Coulibaly,L,180,CIV,24.381,369,137,6-4 6-2,3,R32,84,1,1,46,35,30,5,9,1,2,1,6,56,34,19,9,9,2,6
